OrderID,Date,Product,Category,Region,Quantity,Price,Revenue
1001,2024-05-18,Monitor,Electronics,South,5,35907,179535
1002,2024-06-03,Laptop,Electronics,South,4,61580,246320
1003,2024-03-10,Laptop,Electronics,East,4,38948,155792
1004,2024-01-25,Tablet,Electronics,North,3,22343,67029
1005,2024-06-10,Headphones,Accessories,North,4,39940,159760
1006,2024-05-23,Mobile,Electronics,South,1,71104,71104
1007,2024-02-01,Mobile,Electronics,South,2,28843,57686
1008,2024-03-17,Tablet,Electronics,South,1,57867,57867
1009,2024-03-01,Mobile,Electronics,South,1,64877,64877
1010,2024-03-14,Mobile,Electronics,West,2,63594,127188
1011,2024-04-15,Mobile,Electronics,East,1,24359,24359
1012,2024-04-13,Headphones,Accessories,North,5,50289,251445
1013,2024-06-17,Laptop,Electronics,North,4,76149,304596
1014,2024-05-01,Laptop,Electronics,South,4,7895,31580
1015,2024-02-08,Laptop,Electronics,North,5,37905,189525
1016,2024-03-15,Monitor,Electronics,West,3,30627,91881
1017,2024-01-23,Mobile,Electronics,East,3,65856,197568
1018,2024-06-08,Headphones,Accessories,South,3,15582,46746
1019,2024-02-10,Mobile,Electronics,South,5,47434,237170
1020,2024-03-31,Keyboard,Accessories,East,4,24830,99320
1021,2024-02-19,Tablet,Electronics,East,3,62845,188535
1022,2024-06-17,Headphones,Accessories,East,5,22188,110940
1023,2024-02-18,Keyboard,Accessories,South,5,13732,68660
1024,2024-03-19,Headphones,Accessories,East,1,76591,76591
1025,2024-01-06,Monitor,Electronics,East,4,35356,141424
1026,2024-02-15,Mobile,Electronics,East,3,72523,217569
1027,2024-03-21,Mobile,Electronics,South,2,37139,74278
1028,2024-01-15,Monitor,Electronics,North,4,74127,296508
1029,2024-02-21,Headphones,Accessories,North,5,20502,102510
1030,2024-03-29,Monitor,Electronics,West,5,64676,323380
1031,2024-03-23,Mobile,Electronics,North,3,51379,154137
1032,2024-01-15,Headphones,Accessories,North,3,40767,122301
1033,2024-06-18,Tablet,Electronics,North,2,47344,94688
1034,2024-02-08,Keyboard,Accessories,East,5,64666,323330
1035,2024-04-06,Monitor,Electronics,West,3,50552,151656
1036,2024-03-29,Tablet,Electronics,South,3,53234,159702
1037,2024-05-18,Tablet,Electronics,West,1,44927,44927
1038,2024-05-13,Tablet,Electronics,South,3,68532,205596
1039,2024-06-27,Monitor,Electronics,North,3,49259,147777
1040,2024-02-18,Laptop,Electronics,North,3,19333,57999
1041,2024-02-18,Keyboard,Accessories,West,3,77986,233958
1042,2024-04-11,Monitor,Electronics,South,5,78882,394410
1043,2024-03-08,Tablet,Electronics,West,3,34648,103944
1044,2024-01-18,Keyboard,Accessories,North,5,17334,86670
1045,2024-01-21,Mobile,Electronics,North,4,20066,80264
1046,2024-02-23,Mobile,Electronics,West,4,46979,187916
1047,2024-01-25,Mobile,Electronics,South,3,7184,21552
1048,2024-06-13,Tablet,Electronics,West,4,12344,49376
1049,2024-03-05,Laptop,Electronics,North,2,16079,32158
1050,2024-06-13,Mobile,Electronics,North,5,56315,281575
1051,2024-02-08,Tablet,Electronics,North,3,22444,67332
1052,2024-04-08,Monitor,Electronics,East,5,64657,323285
1053,2024-02-02,Laptop,Electronics,North,2,42937,85874
1054,2024-01-14,Laptop,Electronics,South,3,67605,202815
1055,2024-04-17,Laptop,Electronics,North,5,12130,60650
1056,2024-01-03,Monitor,Electronics,West,5,64673,323365
1057,2024-05-25,Headphones,Accessories,West,5,68272,341360
1058,2024-02-29,Laptop,Electronics,North,4,44199,176796
1059,2024-02-15,Tablet,Electronics,East,4,37012,148048
1060,2024-02-29,Tablet,Electronics,North,4,16504,66016
1061,2024-05-03,Headphones,Accessories,West,3,74733,224199
1062,2024-02-26,Headphones,Accessories,West,3,7765,23295
1063,2024-03-30,Monitor,Electronics,East,3,73104,219312
1064,2024-02-07,Tablet,Electronics,North,2,48035,96070
1065,2024-02-29,Mobile,Electronics,West,3,7819,23457
1066,2024-03-04,Laptop,Electronics,West,3,22489,67467
1067,2024-03-20,Mobile,Electronics,South,3,78125,234375
1068,2024-05-12,Mobile,Electronics,North,1,35583,35583
1069,2024-02-20,Mobile,Electronics,South,1,18033,18033
1070,2024-02-17,Mobile,Electronics,West,2,37136,74272
1071,2024-06-20,Headphones,Accessories,North,2,52837,105674
1072,2024-02-17,Tablet,Electronics,North,4,64196,256784
1073,2024-05-25,Monitor,Electronics,East,2,60290,120580
1074,2024-05-27,Headphones,Accessories,North,3,55262,165786
1075,2024-04-17,Headphones,Accessories,West,2,8336,16672
1076,2024-01-11,Mobile,Electronics,South,1,63085,63085
1077,2024-06-22,Headphones,Accessories,West,1,44580,44580
1078,2024-04-03,Mobile,Electronics,East,2,65860,131720
1079,2024-04-04,Monitor,Electronics,North,5,27592,137960
1080,2024-04-05,Tablet,Electronics,East,3,5002,15006
1081,2024-03-20,Keyboard,Accessories,South,1,45341,45341
1082,2024-02-14,Mobile,Electronics,North,3,46247,138741
1083,2024-04-20,Tablet,Electronics,West,5,32073,160365
1084,2024-02-06,Tablet,Electronics,South,2,24683,49366
1085,2024-06-10,Monitor,Electronics,North,4,67310,269240
1086,2024-05-31,Headphones,Accessories,North,1,7588,7588
1087,2024-01-22,Keyboard,Accessories,North,4,58443,233772
1088,2024-06-18,Tablet,Electronics,South,5,68828,344140
1089,2024-06-25,Laptop,Electronics,East,2,77471,154942
1090,2024-04-27,Laptop,Electronics,North,2,68391,136782
1091,2024-02-16,Laptop,Electronics,South,5,24606,123030
1092,2024-03-04,Keyboard,Accessories,West,5,38501,192505
1093,2024-05-30,Laptop,Electronics,North,4,16753,67012
1094,2024-01-07,Laptop,Electronics,South,2,29837,59674
1095,2024-01-08,Laptop,Electronics,East,2,25210,50420
1096,2024-03-22,Mobile,Electronics,West,1,65450,65450
1097,2024-04-17,Monitor,Electronics,West,4,74983,299932
1098,2024-02-21,Mobile,Electronics,East,5,38021,190105
1099,2024-05-29,Mobile,Electronics,West,1,3549,3549
1100,2024-06-04,Keyboard,Accessories,West,4,66783,267132
1101,2024-03-05,Keyboard,Accessories,West,5,21251,106255
1102,2024-04-22,Tablet,Electronics,North,3,77808,233424
1103,2024-01-17,Keyboard,Accessories,South,5,52086,260430
1104,2024-06-23,Laptop,Electronics,East,3,31166,93498
1105,2024-05-13,Mobile,Electronics,East,5,46380,231900
1106,2024-05-22,Laptop,Electronics,South,4,22222,88888
1107,2024-04-02,Headphones,Accessories,North,1,56782,56782
1108,2024-04-30,Tablet,Electronics,North,1,19924,19924
1109,2024-04-07,Headphones,Accessories,East,1,31692,31692
1110,2024-06-05,Tablet,Electronics,East,1,61460,61460
1111,2024-04-12,Laptop,Electronics,North,3,70214,210642
1112,2024-05-15,Headphones,Accessories,South,1,58703,58703
1113,2024-02-14,Mobile,Electronics,East,5,76557,382785
1114,2024-06-07,Tablet,Electronics,North,2,79057,158114
1115,2024-04-30,Tablet,Electronics,East,2,52541,105082
1116,2024-06-28,Tablet,Electronics,North,2,5859,11718
1117,2024-01-22,Mobile,Electronics,East,4,45532,182128
1118,2024-05-25,Headphones,Accessories,East,1,50543,50543
1119,2024-05-06,Keyboard,Accessories,East,4,45455,181820
1120,2024-06-26,Keyboard,Accessories,North,4,31018,124072
1121,2024-03-19,Monitor,Electronics,North,1,20028,20028
1122,2024-05-20,Headphones,Accessories,South,1,34600,34600
1123,2024-05-16,Keyboard,Accessories,North,2,56090,112180
1124,2024-06-05,Headphones,Accessories,North,4,71534,286136
1125,2024-05-13,Headphones,Accessories,North,1,49074,49074
1126,2024-01-25,Monitor,Electronics,West,3,38964,116892
1127,2024-05-13,Headphones,Accessories,West,4,32629,130516
1128,2024-05-20,Mobile,Electronics,West,1,61181,61181
1129,2024-02-14,Mobile,Electronics,South,2,52545,105090
1130,2024-02-25,Laptop,Electronics,East,2,75025,150050
1131,2024-06-12,Laptop,Electronics,West,4,63263,253052
1132,2024-01-02,Keyboard,Accessories,West,3,79869,239607
1133,2024-04-20,Monitor,Electronics,East,1,21849,21849
1134,2024-03-20,Mobile,Electronics,East,4,55413,221652
1135,2024-04-26,Laptop,Electronics,South,3,67540,202620
1136,2024-03-25,Laptop,Electronics,South,1,50146,50146
1137,2024-05-13,Headphones,Accessories,West,3,59871,179613
1138,2024-05-15,Keyboard,Accessories,North,3,14427,43281
1139,2024-06-08,Keyboard,Accessories,South,1,39940,39940
1140,2024-03-13,Keyboard,Accessories,South,5,18191,90955
1141,2024-04-05,Monitor,Electronics,West,4,58510,234040
1142,2024-05-21,Keyboard,Accessories,North,5,5336,26680
1143,2024-06-08,Keyboard,Accessories,West,4,39744,158976
1144,2024-01-15,Keyboard,Accessories,North,5,17651,88255
1145,2024-04-18,Mobile,Electronics,West,3,12036,36108
1146,2024-01-17,Mobile,Electronics,South,4,10144,40576
1147,2024-04-20,Keyboard,Accessories,South,4,32108,128432
1148,2024-03-07,Tablet,Electronics,South,5,71894,359470
1149,2024-05-22,Laptop,Electronics,West,1,72008,72008
1150,2024-02-26,Tablet,Electronics,South,5,58933,294665
1151,2024-03-03,Mobile,Electronics,North,1,50780,50780
1152,2024-06-22,Mobile,Electronics,West,3,17655,52965
1153,2024-01-14,Headphones,Accessories,West,3,29797,89391
1154,2024-06-14,Keyboard,Accessories,South,2,60325,120650
1155,2024-02-24,Keyboard,Accessories,North,4,78153,312612
